job_title,company,job_location,job_description,job_link,job_skills,search_country,job_level,job_type
Data Analyst,"Compass Group, North America","Charlotte, Mecklenburg County","Who is Foodbuy? We are the industry leader in procurement and supply chain solutions. We are the subsidiary to the 6th largest company in the world (Compass Group PLC), yet Foodbuy has the feel of a small entrepreneurial Company. We pride ourselves on our ability to source and provide a variety of products and services that help our customers more easily, and cost effectively, run their businesses. We work with clients in the Hospitality, Restaurant, Healthcare, Education, Entertainment, and Ga…",https://www.adzuna.com/land/ad/5550544163?se=YL-ZAUca8RGcB9b2w1hBeQ&utm_medium=api&utm_source=44463cba&v=3F47F34FE634F004C4ADE2C5D1935802F69147C4,,United States,,
Data Analyst,UIC Government Services and the Bowhead Family of Companies,"Prichard, Mobile County","Overview DATA ANALYST (CESAM): Bowhead seeks a Data Analyst to join our team in Mobile, AL. The Data Analyst is responsible for providing technical assistance to the DQM Center in the proper and orderly processing of DQM automated dredge monitoring data to include dredge production data, contract compliance, dredge certification, and environmental compliance. Technical support includes but is not limited to the following tasks: project setup and closeout, evaluation of dredging activities and p…",https://www.adzuna.com/land/ad/5605605580?se=YL-ZAUca8RGcB9b2w1hBeQ&utm_medium=api&utm_source=44463cba&v=0BF2F23ACE3931A383CA4259E0F3F9C05250487B,,United States,,
Data Analyst,Insight Global,"Redstone Arsenal, Madison County","Job Description A client of Insight Global is looking for a Data Analyst to join their team in Huntsville, AL. This individual will be responsible for creating and maintaining dashboards that provide visibility into business operations and workstream performance. These dashboards will be used by internal personnel to evaluate performance and identify areas for improvement. A strong background in Excel and Power BI is essential for this role. We are a company committed to creating diverse and in…",https://www.adzuna.com/land/ad/5636974311?se=YL-ZAUca8RGcB9b2w1hBeQ&utm_medium=api&utm_source=44463cba&v=B6B38A9D02FBCE46373CB3B239490CC9910C5F8D,,United States,,
Data Analyst,Robert Half,"Atlanta, Fulton County","Description We are seeking a detail-oriented and analytical Data Analyst to join our team in the Metro Atlanta area. This role is ideal for a detail oriented who enjoys transforming complex data into actionable insights that drive business decisions. You will work cross-functionally with stakeholders across operations, finance, marketing, and technology to support strategic initiatives through data-driven analysis. Key Responsibilities Collect, clean, and analyze large datasets to identify tren…",https://www.adzuna.com/land/ad/5640725655?se=YL-ZAUca8RGcB9b2w1hBeQ&utm_medium=api&utm_source=44463cba&v=BD95D980A9CA3A41108A8AFD541392365496E415,,United States,,
Data Analyst,Robert Half,"Grand Central, Manhattan","Description We are looking for an experienced Data Analyst to join our team on a long-term contract basis in New York City, New York. This role involves leveraging data to identify patterns, detect anomalies, and provide actionable insights to enhance decision-making processes. The ideal candidate will have strong analytical skills and expertise in fraud investigation and prevention. Responsibilities: - Analyze large datasets to uncover trends, anomalies, and patterns that indicate potential fr…",https://www.adzuna.com/land/ad/5636980776?se=YL-ZAUca8RGcB9b2w1hBeQ&utm_medium=api&utm_source=44463cba&v=00470A1D421759385BDA60DEEE4516DE9A976DE7,,United States,,
Data Analyst,Robert Half,"Clarksville, Montgomery County","Description We are looking for a detail-oriented Data Analyst to join our team in Clarksville, Tennessee. In this role, you will collect, analyze, and interpret data to provide actionable insights that drive decision-making across the organization. You will collaborate with various departments to understand business needs, develop impactful reports and dashboards, and ensure the accuracy and security of data used for analysis. Responsibilities: - Gather, clean, and preprocess data from multiple…",https://www.adzuna.com/land/ad/5541697415?se=YL-ZAUca8RGcB9b2w1hBeQ&utm_medium=api&utm_source=44463cba&v=4CDFECBF3CD476E211A7176785180B8ACA4A8D2B,,United States,,
Data Analyst,Vontier,"Silver Lake, Summit County","This position does not offer visa sponsorship. Candidates must be authorized to work in the USA without the need for employer-sponsored visa support. The Data Analyst (Mid-Level) partners with business stakeholders to translate questions into clear, actionable analytics use cases and delivers a first pass of SQL code and datasets to support reporting and decision-making. The role applies data modeling best practices and leverages ETL/data transformation tools to create reusable, well-structured…",https://www.adzuna.com/land/ad/5654546740?se=YL-ZAUca8RGcB9b2w1hBeQ&utm_medium=api&utm_source=44463cba&v=2121FBEBF1E49483037D857FF241B79E492370D0,,United States,,
Data Analyst,Citizens,"Grandview Heights, Franklin County","Description The Data Analyst will serve as a data engineer within a cross-functional team, developing new features, processes, and visualizations that support our Credit Card business. This role requires a strong technical foundation-including server and cloud infrastructure, databases, and APIs-as well as comfort working with large, messy datasets. The ideal candidate brings analytical rigor, business acumen related to operations and first-line risk, and strong communication skills for collabo…",https://www.adzuna.com/land/ad/5654505662?se=YL-ZAUca8RGcB9b2w1hBeQ&utm_medium=api&utm_source=44463cba&v=31F819125C635DF34659C5E450990043EADFA28A,,United States,,
Data Analyst,Citizens,"Westwood, Norfolk County","Description The Data Analyst will serve as a data engineer within a cross-functional team, developing new features, processes, and visualizations that support our Credit Card business. This role requires a strong technical foundation-including server and cloud infrastructure, databases, and APIs-as well as comfort working with large, messy datasets. The ideal candidate brings analytical rigor, business acumen related to operations and first-line risk, and strong communication skills for collabo…",https://www.adzuna.com/land/ad/5654475000?se=YL-ZAUca8RGcB9b2w1hBeQ&utm_medium=api&utm_source=44463cba&v=FF8BA389D5617E042543DDA0573184ED7E5BB854,,United States,,
Data Analyst,AeroVironment,"Savage, Anne Arundel County","Worker Type Regular Job Description Summary The Data Analyst will support to conceive, develop, mature, maintain, and transition novel and innovative FMI applications, capabilities, tradecraft, and insight from large and complex data. They will will leverage data science and modeling, data discovery, collection, curation, and enrichment, software engineering, and spatiotemporal technologies and methods for event detection and validation of I&W methodologies. Position Responsibilities  Innovativ…",https://www.adzuna.com/land/ad/5633668083?se=YL-ZAUca8RGcB9b2w1hBeQ&utm_medium=api&utm_source=44463cba&v=E6889FE096596AA15FF7D0E4F162D3CCB7764ED9,,United States,,
Data Analyst,Insight Global,"Grandview Heights, Franklin County","Job Description - We are a company committed to creating diverse and inclusive environments where people can bring their full, authentic selves to work every day. We are an equal opportunity/affirmative action employer that believes everyone matters. Qualified candidates will receive consideration for employment regardless of their race, color, ethnicity, religion, sex (including pregnancy), sexual orientation, gender identity and expression, marital status, national origin, ancestry, genetic f…",https://www.adzuna.com/land/ad/5502409134?se=YL-ZAUca8RGcB9b2w1hBeQ&utm_medium=api&utm_source=44463cba&v=57EADC29FFC178C67DE3E076F70C6030C4C356CA,,United States,,
Data Analyst,Jobot,"Acton, Los Angeles County","?? Senior Scheduler / Great Place To Work! This Jobot Job is hosted by: Alex Console Are you a fit? Easy Apply now by clicking the ""Apply"" button and sending us your resume. Salary: $110,000 - $160,000 per year A bit about us: We’re a group of dedicated innovators focused on empowering large-scale project stakeholders to maximize value through advanced systems and analytics. Why join us? Competitive compensation Health insurance 401k with employer match Flexible PTO Remote work Philanthropic Ma…",https://www.adzuna.com/land/ad/5644507976?se=YL-ZAUca8RGcB9b2w1hBeQ&utm_medium=api&utm_source=44463cba&v=78759FD65498FCF6063D42C1F9E49FA79DFCB98C,,United States,,
Data Analyst,ManpowerGroup,"Grand Central, Manhattan","Data Engineer New York NY 10001 (Onsite) 9 months contract with high potential for extension. Pay range: $70 - $80/hr on W2 Our Fortune 500 client in USA is looking for hardworking, motivated talent to join their innovative team. Are you a Data Engineer Operations Engineer with a passion for collaborating with multiple teams and an interest in working onsite? Don't wait apply today! Job Description: Responsibilities: - Strong Data Engineer with hands-on in Databricks, Pyspark and SQL (must have…",https://www.adzuna.com/land/ad/5639129534?se=YL-ZAUca8RGcB9b2w1hBeQ&utm_medium=api&utm_source=44463cba&v=5C60E4B7E6948632505768242DBF5371CD901B20,,United States,,
Data Analyst,Insight Global,"Huntington, Orange County","Job Description - We are a company committed to creating diverse and inclusive environments where people can bring their full, authentic selves to work every day. We are an equal opportunity/affirmative action employer that believes everyone matters. Qualified candidates will receive consideration for employment regardless of their race, color, ethnicity, religion, sex (including pregnancy), sexual orientation, gender identity and expression, marital status, national origin, ancestry, genetic f…",https://www.adzuna.com/land/ad/5656793658?se=YL-ZAUca8RGcB9b2w1hBeQ&utm_medium=api&utm_source=44463cba&v=06E5196D9CF3396A8C8AD6300FE6433D086FBB13,,United States,,
